survey,load_cmd,cy_data,wt,source,year,notes
eb57,"eb57 <- read_dta( ""gesis_files/ZA3638/ZA3638_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2002)",wt57 <- eb57$v13,GESIS: ZA3638,2002,excluding Norway
eb571,"eb571 <- read_dta( ""gesis_files/ZA3639/ZA3639_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2002)",wt571 <- eb571$v13,GESIS: ZA3639,2002,excluding Norway
eb572,"eb572 <- read_dta( ""gesis_files/ZA3640/ZA3640_v1-0-1.dta"")","data_frame(v12 = 1:19, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""Czech Republic"", ""Hungary"", ""Poland""), y_dcpo=2002)",wt572 <- eb572$v13,GESIS: ZA3640,2002,"(1) including 3 new countries: Czech Republic, Hungary, Poland; (2) excluding Norway"
eb572OVR,"eb572OVR <- read_dta( ""gesis_files/ZA3641/ZA3641_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2002)",wt572OVR <- eb572OVR$v13,GESIS: ZA3641,2002,excluding Norway
eb58,"eb58 <- read_dta( ""gesis_files/ZA3692/ZA3692_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2002)",wt58 <- eb58$v13,GESIS: ZA3692,2002,
eb581,"eb581 <- read_dta( ""gesis_files/ZA3693/ZA3693_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2002)",wt581 <- eb581$v13,GESIS: ZA3693,2002,excluding Norway
eb582,"eb582 <- read_dta( ""gesis_files/ZA3886/ZA3886_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2002)",wt582 <- eb582$v13,GESIS: ZA3886,2002,excluding Norway
eb59,"eb59 <- read_dta( ""gesis_files/ZA3903/ZA3903_v1-0-1.dta"")","data_frame(v6 = 1:18, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""ICELAND""), y_dcpo=2003)","wt59 <- eb59$v7; wt[grep(""DE\\-"", eb59$isocntry)] <- eb59$v11[grep(""DE\\-"", eb59$isocntry)]",GESIS: ZA3903,2003,including a new country: Iceland
eb591,"eb591 <- read_dta( ""gesis_files/ZA3904/ZA3904_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2003)",wt591 <- eb591$v14,GESIS: ZA3904,2003,excluding Norway
eb592,"eb592 <- read_dta( ""gesis_files/ZA3905/ZA3905_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2003)",wt592 <- eb591$v14,GESIS: ZA3905,2003,excluding Norway
eb60,"eb60 <- read_dta( ""gesis_files/ZA3937/ZA3937_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2003)",wt60 <- eb60$v13,GESIS: ZA3937,2003,excluding Norway
eb601,"eb601 <- read_dta( ""gesis_files/ZA3938/ZA3938_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2003)",wt601 <- eb601$v13,GESIS: ZA3938,2003,excluding Norway
eb602,"eb602 <- read_dta( ""gesis_files/ZA3939/ZA3939_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2003)",wt602 <- eb602$v13,GESIS: ZA3939,2003,excluding Norway
eb603,"eb603 <- read_dta( ""gesis_files/ZA3940/ZA3940_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2004)",wt603 <- eb603$v13,GESIS: ZA3940,2004,excluding Norway
eb61,"eb61 <- read_dta( ""gesis_files/ZA4056/ZA4056_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2004)",wt61 <- eb61$v13,GESIS: ZA4056,2004,excluding Norway
eb62,"eb62 <- read_dta( ""gesis_files/ZA4229/ZA4229_v1-1-0.dta"")","data_frame(v6 = 1:33, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"" ), y_dcpo=2004)","wt62 <- eb62$V8; wt[grep(""DE\\-"", eb62$v7)] <- eb62$v12[grep(""DE\\-"", eb62$v7)]; wt[grep(""GB\\-"", eb62$v7)] <- eb62$v10[grep(""DE\\-"", eb62$v7)]",GESIS: ZA4229,2004,"(1)a new nation variables for EU 25, potential member states, and Turkey; (2)excluding Norway; (3)not including Iceland; "
eb621,"eb621 <- read_dta( ""gesis_files/ZA4230/ZA4230_v1-1-0.dta"")","data_frame(v6 = 1:28, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA""), y_dcpo=2004)","wt621 <- eb621$V8; wt[grep(""DE\\-"", eb621$v7)] <- eb621$v12[grep(""DE\\-"", eb621$v7)]; wt[grep(""GB\\-"", eb621$v7)] <- eb621$v10[grep(""DE\\-"", eb621$v7)]",GESIS: ZA4230,2004,excluding Norway
eb622,"eb622 <- read_dta( ""gesis_files/ZA4231/ZA4231_v1-1-0.dta"")","data_frame(v6 = 1:30, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA""), y_dcpo=2004)","wt622 <- eb622$V8; wt[grep(""DE\\-"", eb622$v7)] <- eb622$v12[grep(""DE\\-"", eb622$v7)]; wt[grep(""GB\\-"", eb622$v7)] <- eb622$v10[grep(""DE\\-"", eb622$v7)]",GESIS: ZA4231,2004,excluding Norway
eb631,"eb631 <- read_dta( ""gesis_files/ZA4233/ZA4233_v1-1-0.dta"")","data_frame(v6 = 1:35, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""ICELAND"", ""SWITZELAND""), y_dcpo=2005)","wt631 <- eb631$V8;  wt[grep(""DE\\-"", eb631$v7)] <- eb631$v12[grep(""DE\\-"", eb631$v7)]; wt[grep(""GB\\-"", eb631$v7)] <- eb631$v10[grep(""DE\\-"", eb631$v7)]",GESIS: ZA4233,2005,(1)a new nation variables including Switzerland; (2) excluding Norway
eb632,"eb632 <- read_dta( ""gesis_files/ZA4234/ZA4234_v1-1-0.dta"")","data_frame(v6 = 1:28, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA""), y_dcpo=2005)","wt632 <- eb632$V8;  wt[grep(""DE\\-"", eb632$v7)] <- eb632$v12[grep(""DE\\-"", eb632$v7)]; wt[grep(""GB\\-"", eb632$v7)] <- eb632$v10[grep(""DE\\-"", eb632$v7)]",GESIS: ZA4234,2005,excluding Norway
eb633,"eb633 <- read_dta( ""gesis_files/ZA4410/ZA4410_v1-0-1.dta"")","data_frame(v6 = 1:28, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA""), y_dcpo=2005)",wt633 <- eb633$V8,GESIS: ZA4410,2005,(1)excluding from France to Austria (18 nations)
eb634,"eb634 <- read_dta( ""gesis_files/ZA4411/ZA4411_v1-1-0.dta"")","data_frame(v6 = 1:33, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"" ), y_dcpo=2005)","wt634 <- eb634$V8;  wt[grep(""DE\\-"", eb634$v7)] <- eb634$v12[grep(""DE\\-"", eb634$v7)]; wt[grep(""GB\\-"", eb634$v7)] <- eb634$v10[grep(""DE\\-"", eb634$v7)]",GESIS: ZA4411,2005,excluding Norway
eb635,"eb635 <- read_dta( ""gesis_files/ZA4412/ZA4412_v2-0-0.dta"")","data_frame(v6 = 1:28, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA""), y_dcpo=2005)",wt635 <- eb635$V8,GESIS: ZA4412,2005,(1)excluding from France to Austria (18 nations)
eb641,"eb641 <- read_dta( ""gesis_files/ZA4413/ZA4413_v1-1-0.dta"")","data_frame(v6 = 1:28, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA""), y_dcpo=2005)","wt641 <- eb641$V8;  wt[grep(""DE\\-"", eb641$v7)] <- eb641$v12[grep(""DE\\-"", eb641$v7)]; wt[grep(""GB\\-"", eb641$v7)] <- eb641$v10[grep(""DE\\-"", eb641$v7)]",GESIS: ZA4413,2005,excluding Norway
eb642,"eb642 <- read_dta( ""gesis_files/ZA4414/ZA4414_v1-1-0.dta"")","data_frame(v6 = 1:33, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"" ), y_dcpo=2005)","wt642 <- eb642$V8;  wt[grep(""DE\\-"", eb642$v7)] <- eb642$v12[grep(""DE\\-"", eb642$v7)]; wt[grep(""GB\\-"", eb642$v7)] <- eb642$v10[grep(""DE\\-"", eb642$v7)]",GESIS: ZA4414,2005,excluding Norway
eb643,"eb643 <- read_dta( ""gesis_files/ZA4415/ZA4415_v1-0-1.dta"")","data_frame(v6 = 1:33, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"" ), y_dcpo=2005)","wt643 <- eb643$V8;  wt[grep(""DE\\-"", eb643$v7)] <- eb643$v12[grep(""DE\\-"", eb643$v7)]; wt[grep(""GB\\-"", eb643$v7)] <- eb643$v10[grep(""DE\\-"", eb643$v7)]",GESIS: ZA4415,2005,excluding Norway
eb644,"eb644 <- read_dta( ""gesis_files/ZA4416/ZA4416_v1-0-1.dta"")","data_frame(v6 = 1:33, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"" ), y_dcpo=2006)","wt644 <- eb644$V8;  wt[grep(""DE\\-"", eb644$v7)] <- eb644$v12[grep(""DE\\-"", eb644$v7)]; wt[grep(""GB\\-"", eb644$v7)] <- eb644$v10[grep(""DE\\-"", eb644$v7)]",GESIS: ZA4416,2006,excluding Norway
eb651,"eb651 <- read_dta( ""gesis_files/ZA4505/ZA4505_v1-0-1.dta"")","data_frame(v6 = 1:28, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA""), y_dcpo=2006)","wt651 <- eb651$V8;  wt[grep(""DE\\-"", eb651$v7)] <- eb651$v12[grep(""DE\\-"", eb651$v7)]; wt[grep(""GB\\-"", eb651$v7)] <- eb651$v10[grep(""DE\\-"", eb651$v7)]",GESIS: ZA4505,2006,excluding Norway
eb652,"eb652 <- read_dta( ""gesis_files/ZA4506/ZA4506_v1-0-1.dta"")","data_frame(v6 = 1:33, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"" ), y_dcpo=2006)","wt652 <- eb652$V8;  wt[grep(""DE\\-"", eb652$v7)] <- eb652$v12[grep(""DE\\-"", eb652$v7)]; wt[grep(""GB\\-"", eb652$v7)] <- eb652$v10[grep(""DE\\-"", eb652$v7)]",GESIS: ZA4506,2006,excluding Norway
eb653,"eb653 <- read_dta( ""gesis_files/ZA4507/ZA4507_v1-1-0.dta"")","data_frame(v6 = 1:33, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"" ), y_dcpo=2006)","wt653 <- eb653$V8;  wt[grep(""DE\\-"", eb653$v7)] <- eb653$v12[grep(""DE\\-"", eb653$v7)]; wt[grep(""GB\\-"", eb653$v7)] <- eb653$v10[grep(""DE\\-"", eb653$v7)]",GESIS: ZA4507,2006,excluding Norway
eb654,"eb654 <- read_dta( ""gesis_files/ZA4508/ZA4508_v1-1-2.dta"")","data_frame(v6 = 1:30, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA""), y_dcpo=2006)","wt654 <- eb654$V8;  wt[grep(""DE\\-"", eb654$v7)] <- eb654$v12[grep(""DE\\-"", eb654$v7)]; wt[grep(""GB\\-"", eb654$v7)] <- eb654$v10[grep(""DE\\-"", eb654$v7)]",GESIS: ZA4508,2006,excluding Norway
eb661,"eb661 <- read_dta( ""gesis_files/ZA4526/ZA4526_v1-0-1.dta"")","data_frame(v6 = 1:33, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"" ), y_dcpo=2006)","wt661 <- eb661$V8;  wt[grep(""DE\\-"", eb661$v7)] <- eb661$v12[grep(""DE\\-"", eb661$v7)]; wt[grep(""GB\\-"", eb661$v7)] <- eb661$v10[grep(""DE\\-"", eb661$v7)]",GESIS: ZA4526,2006,excluding Norway
